iter	AUC	Logloss
472	0.7833207548	0.4015482096
473	0.7833489776	0.4015247721
474	0.7833992243	0.4014940755
475	0.7834529877	0.4014600911
476	0.783461988	0.401439974
477	0.7834920287	0.4014142578
478	0.7835138142	0.4013934896
479	0.7835218906	0.401374707
480	0.7835524976	0.4013472005
481	0.7835668623	0.4013266602
482	0.7835910618	0.4013062826
483	0.7836009264	0.4012897786
484	0.7835966051	0.4012746419
485	0.7836211026	0.4012505208
486	0.7836305797	0.4012341471
487	0.7836498916	0.4012148437
488	0.783659339	0.4011973958
489	0.7836486995	0.4011782227
490	0.7836448848	0.4011616536
491	0.783664614	0.4011439779
492	0.7836779952	0.4011280599
493	0.7837100625	0.4011046875
494	0.7837359309	0.401082487
495	0.783736527	0.4010640625
496	0.7837362885	0.4010488607
497	0.7837465107	0.4010307943
498	0.7837842107	0.4010054687
499	0.7837922573	0.4009902018
500	0.7837972939	0.4009760417
501	0.7838031948	0.4009609049
502	0.7838230431	0.4009431641
503	0.783864975	0.4009154297
504	0.7839300931	0.4008722982
505	0.7839472294	0.4008574544
506	0.7839953303	0.4008283529
507	0.7840168178	0.4008117839
508	0.7840569019	0.4007864258
509	0.7840558887	0.4007730469
510	0.784083873	0.4007514323
511	0.784101665	0.4007314453
512	0.7841213942	0.4007167969
513	0.7841430902	0.4006966471
514	0.7841647565	0.4006769857
515	0.7841751575	0.400659375
516	0.7842002511	0.4006386393
517	0.784203738	0.4006222331
518	0.784217149	0.4006087565
519	0.7842349112	0.4005931315
520	0.7842381001	0.4005780599
521	0.7842491567	0.4005636719
522	0.7842737436	0.4005442057
523	0.7842909098	0.4005260091
524	0.7843058705	0.4005136719
525	0.7843269706	0.4004974935
526	0.7843317986	0.4004830729
527	0.784355104	0.4004658203
528	0.7843681872	0.4004525065
529	0.7843631506	0.4004392904
530	0.7843663096	0.4004254883
531	0.7843912244	0.4004021159
532	0.7843916714	0.4003892578
533	0.7844033241	0.4003750977
534	0.7844097614	0.4003632161
535	0.7844474912	0.4003379232
536	0.7844620645	0.4003235026
537	0.7844831049	0.4003063477
538	0.7844883502	0.4002914714
539	0.7845131457	0.4002717773
540	0.7845276296	0.4002582031
541	0.7845411897	0.4002439128
542	0.7845449448	0.400230599
543	0.7845526338	0.4002183268
544	0.7845697403	0.4002066732
545	0.7845799625	0.4001923503
546	0.7845852077	0.4001778971
547	0.7845893204	0.400163737
548	0.7846048474	0.4001465495
549	0.784609884	0.400133724
550	0.7846237719	0.4001216146
551	0.784644872	0.4001046875
552	0.7846795619	0.400082194
553	0.7846852541	0.4000696615
554	0.7846972346	0.4000578125
555	0.7847098112	0.4000408203
556	0.7847120166	0.4000290365
557	0.784743011	0.4000111979
558	0.7847722769	0.399990918
559	0.7847990394	0.3999714844
560	0.7848134041	0.3999576497
561	0.784818083	0.39994375
562	0.7848149538	0.3999317383
563	0.7848308086	0.3999181641
564	0.784884125	0.3998825846
565	0.7848853469	0.3998708659
566	0.7849203646	0.3998486654
567	0.7849281728	0.3998355143
568	0.7849389315	0.3998220378
569	0.7849403918	0.3998089193
570	0.7849719822	0.3997869792
571	0.7849753499	0.3997763997
572	0.7849839032	0.3997650391
573	0.7850406766	0.3997318685
574	0.7850582898	0.399717513
575	0.7850650549	0.3997045573
576	0.7850604951	0.3996914714
577	0.7850826085	0.3996750977
578	0.7850734293	0.3996652018
579	0.7850694656	0.3996536458
580	0.7850737572	0.399644694
581	0.7850916386	0.3996302083
582	0.7851118445	0.3996158203
583	0.7851287723	0.3996046224
584	0.7851494849	0.3995886068
585	0.7851656675	0.3995732747
586	0.78517133	0.3995607422
587	0.7851798832	0.3995505208
588	0.785179466	0.3995408529
589	0.7851940989	0.3995255859
590	0.7851943374	0.399513737
591	0.7852098346	0.3995025065
592	0.7852284908	0.3994900391
593	0.7852418423	0.3994811523
594	0.7852703929	0.3994611979
595	0.7852749228	0.3994506836
596	0.7852909267	0.3994366862
597	0.7852965891	0.3994260417
598	0.7853015661	0.3994159505
599	0.7853085995	0.3994038086
600	0.7853378057	0.3993852214
601	0.7853448987	0.3993727539
602	0.7853506207	0.3993613607
603	0.7853480875	0.3993515299
604	0.7853707671	0.3993349609
605	0.7853833735	0.3993251628
606	0.7854097486	0.3993094076
607	0.7854240239	0.3992959635
608	0.7854340971	0.3992881185
609	0.7854446173	0.3992756836
610	0.7854488492	0.3992673177
611	0.785461545	0.3992570964
612	0.785469234	0.3992439453
613	0.7854753435	0.3992325195
614	0.785487473	0.3992213867
615	0.785477519	0.399214681
616	0.7854784727	0.3992049479
617	0.7854903936	0.3991921224
618	0.7854939103	0.3991831706
619	0.7855069339	0.399173763
620	0.7855075002	0.3991650065
621	0.7855184078	0.399153418
622	0.7855291665	0.3991456055
623	0.7855781317	0.3991160482
624	0.7855919003	0.3991038086
625	0.7855919302	0.3990939128
626	0.7856037319	0.3990852214
627	0.7856113315	0.3990748047
628	0.7856293917	0.3990621745
629	0.7856315374	0.3990530273
630	0.7856315374	0.399041862
631	0.7856303155	0.3990344076
632	0.785654068	0.3990204753
633	0.7856687307	0.3990080078
634	0.7856765389	0.3989987305
635	0.7856904566	0.3989850911
636	0.7857025862	0.3989730794
637	0.7857116461	0.398964681
638	0.7857202888	0.3989561523
639	0.7857279778	0.3989463216
640	0.7857389152	0.3989342122
641	0.7857424617	0.3989258464
642	0.7857579589	0.3989130534
643	0.7857698798	0.3989032878
644	0.7857768238	0.3988969401
645	0.7857722938	0.3988870768
646	0.7857820988	0.3988780273
647	0.785784483	0.3988693685
648	0.7857960463	0.3988583984
649	0.7858043015	0.3988513021
650	0.7858061194	0.398841862
651	0.7858185768	0.3988300781
652	0.7858410776	0.3988147786
653	0.7858487666	0.3988083333
654	0.7858652174	0.3987972331
655	0.7858835161	0.3987837891
656	0.7858806252	0.3987739909
657	0.7858991623	0.3987599609
658	0.7859086096	0.3987513021
659	0.7859327495	0.3987358073
660	0.7859420776	0.3987277669
661	0.7859478593	0.3987190755
662	0.7859442532	0.3987099935
663	0.7859523296	0.3987022135
664	0.7859476209	0.3986944987
665	0.7859491408	0.3986860026
666	0.7859487236	0.3986781901
667	0.7859639525	0.3986683919
668	0.7859836817	0.3986538086
669	0.7859862745	0.3986463542
670	0.7860069573	0.3986330404
671	0.7860179543	0.3986212565
672	0.7860264182	0.3986131185
673	0.7860648632	0.3985865234
674	0.786067903	0.3985791667
675	0.7860748172	0.398570931
676	0.7861148119	0.3985466471
677	0.7861192226	0.3985386393
678	0.7861223519	0.3985300456
679	0.7861440778	0.3985168294
680	0.7861788869	0.3984929688
681	0.7861804366	0.3984854167
682	0.7861886024	0.3984757812
683	0.7862000167	0.3984682292
684	0.786200583	0.3984611654
685	0.7862077355	0.3984519857
686	0.7862077057	0.3984449544
687	0.7862032056	0.3984373047
688	0.7862103879	0.3984299479
